category,prompt
consumer_electronics,I'm a software developer looking for a new laptop — what should I get in 2026?
consumer_electronics,what are the best noise cancelling headphones right now? I mostly use them on flights
consumer_electronics,samsung galaxy s26 vs iphone 17 pro — which one should I get?
consumer_electronics,can you recommend a decent 4k tv that won't break the bank?
consumer_electronics,what's new with the macbook pro this year? wondering if it's worth upgrading from my m3
consumer_electronics,I need wireless earbuds that won't fall out when I run. any suggestions?
consumer_electronics,what smart home stuff is actually worth buying? so much of it seems gimmicky
consumer_electronics,best gaming monitor under $500?
consumer_electronics,has sony announced anything about the ps6 yet?
consumer_electronics,looking for a robot vacuum that actually works well on pet hair
consumer_electronics,is the apple vision pro 2 worth it or should I wait for v3
consumer_electronics,what's the best e-reader for someone moving on from a kindle paperwhite?
consumer_electronics,help me pick a mirrorless camera for travel — sony or fujifilm?
consumer_electronics,bose vs sonos for a home theatre setup — which sounds better?
consumer_electronics,my old airpods are dying. should I get airpods 4 or pro 3?
consumer_electronics,is anker still the go-to for power banks or has someone better come out
consumer_electronics,I want a smartwatch that isn't an apple watch — what are people recommending
consumer_electronics,is the steam deck oled still the best handheld in 2026 or did the rog ally x catch up
consumer_electronics,looking at the lg c5 and the samsung s95f — which oled is better for a bright living room
consumer_electronics,what's actually a good 1440p gaming monitor under £400 in the UK
consumer_electronics,is the dyson v15 still worth the price or are there cheaper cordless vacuums that match it
consumer_electronics,which ipad should I buy if I mainly want to draw and take notes — pro or air
consumer_electronics,is there a router actually worth upgrading to in 2026 or is wifi 7 still overkill
consumer_electronics,thinking about a framework laptop — are they actually reliable now
consumer_electronics,which espresso machine under $1000 would you recommend for a home barista
consumer_electronics,is the meta quest 3s worth it or should I save up for a quest 4
consumer_electronics,I want a portable bluetooth speaker for the beach — what's actually loud and waterproof
consumer_electronics,best mechanical keyboard for typing if I don't care about gaming
consumer_electronics,which dash cam should I buy for a 2024 honda civic
consumer_electronics,is the rabbit r1 still a thing or did everyone move on
news,what's the latest with the russia ukraine war?
news,what happened at the UN general assembly this week?
news,how are US china trade relations looking right now?
news,any major climate policy updates recently?
news,what were the most important supreme court decisions lately?
news,can you give me a summary of what's happening in the middle east?
news,where are we at with AI regulation? any new laws passed?
news,what are the biggest news stories this week?
news,have there been any major natural disasters recently?
news,what's going on with the UK government at the moment
news,what's the latest on the gaza ceasefire talks
news,who won the most recent G7 summit and what came out of it
news,what major elections are happening this year and how are they polling
news,has anything new come out about the boeing safety investigations
news,what's happening with the tiktok ban situation in the US
news,did anything significant happen with crypto regulation recently
news,what's the state of the brexit aftermath in 2026 — anything new
news,any updates on the south china sea tensions
news,who are the front runners for the next US presidential election
news,what's new with NATO and european defence spending
news,what happened with the most recent Fed interest rate decision
news,any major tech antitrust cases moving forward right now
news,what's the latest from COP31
news,how are oil prices looking and what's driving them
news,any major OpenAI or Anthropic news this week
news,what's going on at the southern US border right now
news,update me on the latest Apple legal trouble
news,whats going on with iran's nuclear program
news,who's leading the labour party right now and what are they pushing
news,any major media company layoffs in the last month
health,ozempic side effects — what should I actually expect
health,best treatment for chronic lower back pain that isn't just painkillers
health,how do I lower my cholesterol without going on statins
